"StationNbr","Name","City","RegionalOffice","County","ConnectDate","DisconnectDate","IsActive","IsEtoStation","Elevation","GroundCover","HmsLatitude","HmsLongitude","ZipCodes","SitingDesc"
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93704",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93703",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93702",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93701",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93650",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93234",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93668",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93660",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93656",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93652",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93609",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93608",""
"1","Fresno/F.S.U. USDA","Fresno","South Central Region Office","Fresno","6/7/1982","9/25/1988","False","True","340","Grass","36º48'52N / 36.814444","-119º43'54W / -119.731670","93607",""
"2","FivePoints","Five Points","South Central Region Office","Fresno","6/7/1982","12/31/2050","True","True","285","Grass","36º20'10N / 36.336222","-120º6'46W / -120.112910","93624",""
"3","Beach /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","36º52'50N / 36.880556","-121º47'36W / -121.793330","95077",""
"3","Beach /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","36º52'50N / 36.880556","-121º47'36W / -121.793330","95076",""
"3","Beach /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","36º52'50N / 36.880556","-121º47'36W / -121.793330","95075",""
"3","Beach /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","36º52'50N / 36.880556","-121º47'36W / -121.793330","95019",""
"3","Beach /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","8/25/1986","False","True","10","Grass","36º52'50N / 36.880556","-121º47'36W / -121.793330","95018",""
"4","Webb /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","36º58'21N / 36.9725","-121º43'34W / -121.726110","95077",""
"4","Webb /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","36º58'21N / 36.9725","-121º43'34W / -121.726110","95076",""
"4","Webb /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","36º58'21N / 36.9725","-121º43'34W / -121.726110","95075",""
"4","Webb /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","36º58'21N / 36.9725","-121º43'34W / -121.726110","95019",""
"4","Webb /Santa Cruz CO","Watsonville","South Central Region Office","Santa Cruz","5/30/1982","4/29/1988","False","True","230","Grass","36º58'21N / 36.9725","-121º43'34W / -121.726110","95018",""
"5","Shafter","Shafter","South Central Region Office","Kern","6/1/1982","12/31/2050","True","True","360","Grass","35º31'57N / 35.532556","-119º16'54W / -119.281790","93263",""
